n,m,k,e,t
1200,12000,5,94,35
1200,12000,5,94,36
1200,12000,5,94,37
1200,12000,5,95,38
1200,12000,5,95,39
1200,12000,5,95,3
1200,12000,5,93,40
1200,12000,5,95,41
1200,12000,5,94,42
1200,12000,5,95,43
1200,12000,5,94,44
1200,12000,5,94,45
1200,12000,5,96,46
1200,12000,5,95,47
1200,12000,5,95,48
1200,12000,5,93,49
1200,12000,5,93,4
1200,12000,5,93,50
1200,12000,5,93,5
1200,12000,5,93,6
1200,12000,5,94,7
1200,12000,5,94,8
1200,12000,5,94,9
1200,12000,6,89,10
1200,12000,6,91,11
1200,12000,6,89,12
1200,12000,6,90,13
1200,12000,6,90,14
1200,12000,6,90,15
1200,12000,6,89,16
1200,12000,6,89,17
1200,12000,6,91,18
1200,12000,6,90,19
1200,12000,6,90,1
1200,12000,6,90,20
1200,12000,6,88,21
1200,12000,6,90,22
1200,12000,6,91,23
1200,12000,6,90,24
1200,12000,6,91,25
1200,12000,6,90,26
1200,12000,6,90,27
1200,12000,6,91,28
1200,12000,6,90,29
1200,12000,6,90,2
1200,12000,6,91,30
1200,12000,6,90,31
1200,12000,6,90,32
1200,12000,6,90,33
1200,12000,6,90,34
1200,12000,6,90,35
1200,12000,6,90,36
1200,12000,6,90,37
1200,12000,6,91,38
1200,12000,6,89,39
1200,12000,6,89,3
1200,12000,6,90,40
1200,12000,6,90,41
1200,12000,6,91,42
1200,12000,6,89,43
1200,12000,6,91,44
1200,12000,6,90,45
1200,12000,6,90,46
1200,12000,6,89,47
1200,12000,6,90,48
1200,12000,6,91,49
1200,12000,6,90,4
1200,12000,6,89,50
1200,12000,6,90,5
1200,12000,6,90,6
1200,12000,6,90,7
1200,12000,6,90,8
1200,12000,6,90,9
1200,3600,3,135,10
1200,3600,3,134,11
1200,3600,3,136,12
1200,3600,3,134,13
1200,3600,3,135,14
1200,3600,3,136,15
1200,3600,3,135,16
1200,3600,3,137,17
1200,3600,3,135,18
1200,3600,3,139,19
1200,3600,3,134,1
1200,3600,3,133,20
1200,3600,3,138,21
1200,3600,3,137,22
1200,3600,3,135,23
1200,3600,3,134,24
1200,3600,3,136,25
1200,3600,3,135,26
1200,3600,3,137,27
1200,3600,3,135,28
1200,3600,3,135,29
1200,3600,3,136,2
1200,3600,3,134,30
1200,3600,3,134,31
1200,3600,3,136,32
1200,3600,3,134,33
1200,3600,3,134,34
1200,3600,3,136,35
1200,3600,3,136,36
1200,3600,3,135,37
1200,3600,3,135,38
1200,3600,3,139,39
1200,3600,3,134,3
1200,3600,3,137,40
1200,3600,3,135,41
1200,3600,3,134,42
1200,3600,3,136,43
1200,3600,3,135,44
1200,3600,3,135,45
1200,3600,3,136,46
1200,3600,3,137,47
1200,3600,3,136,48
1200,3600,3,136,49
1200,3600,3,137,4
1200,3600,3,134,50
1200,3600,3,134,5
1200,3600,3,136,6
1200,3600,3,135,7
1200,3600,3,137,8
1200,3600,3,134,9
1200,3600,4,143,10
1200,3600,4,145,11
1200,3600,4,145,12
1200,3600,4,144,13
1200,3600,4,146,14
1200,3600,4,143,15
1200,3600,4,144,16
1200,3600,4,145,17
1200,3600,4,143,18
1200,3600,4,144,19
1200,3600,4,144,1
1200,3600,4,144,20
1200,3600,4,145,21
1200,3600,4,146,22
1200,3600,4,141,23
1200,3600,4,143,24
1200,3600,4,145,25
1200,3600,4,144,26
1200,3600,4,145,27
1200,3600,4,145,28
1200,3600,4,144,29
1200,3600,4,144,2
1200,3600,4,144,30
1200,3600,4,144,31
1200,3600,4,144,32
1200,3600,4,143,33
1200,3600,4,144,34
1200,3600,4,145,35
1200,3600,4,145,36
1200,3600,4,144,37
1200,3600,4,146,38
1200,3600,4,145,39
1200,3600,4,144,3
1200,3600,4,145,40
1200,3600,4,143,41
1200,3600,4,143,42
1200,3600,4,145,43
1200,3600,4,145,44
1200,3600,4,144,45
1200,3600,4,146,46
1200,3600,4,144,47
1200,3600,4,144,48
1200,3600,4,145,49
1200,3600,4,145,4
1200,3600,4,145,50
1200,3600,4,144,5
1200,3600,4,143,6
1200,3600,4,142,7
1200,3600,4,143,8
1200,3600,4,145,9
1200,3600,5,137,10
1200,3600,5,136,11
1200,3600,5,137,12
1200,3600,5,135,13
1200,3600,5,137,14
1200,3600,5,137,15
1200,3600,5,135,16
1200,3600,5,137,17
1200,3600,5,135,18
1200,3600,5,137,19
1200,3600,5,137,1
1200,3600,5,136,20
1200,3600,5,138,21
1200,3600,5,137,22
1200,3600,5,137,23
1200,3600,5,137,24
1200,3600,5,137,25
1200,3600,5,137,26
1200,3600,5,138,27
1200,3600,5,137,28
1200,3600,5,136,29
1200,3600,5,137,2
1200,3600,5,136,30
1200,3600,5,136,31
1200,3600,5,136,32
1200,3600,5,137,33
1200,3600,5,136,34
1200,3600,5,138,35
1200,3600,5,134,36
1200,3600,5,136,37
1200,3600,5,138,38
1200,3600,5,137,39
1200,3600,5,137,3
1200,3600,5,138,40
1200,3600,5,135,41
1200,3600,5,137,42
1200,3600,5,137,43
1200,3600,5,137,44
1200,3600,5,136,45
1200,3600,5,136,46
1200,3600,5,136,47
1200,3600,5,136,48
1200,3600,5,137,49
1200,3600,5,136,4
1200,3600,5,137,50
1200,3600,5,137,5
1200,3600,5,136,6
1200,3600,5,137,7
1200,3600,5,138,8
1200,3600,5,137,9
1200,3600,6,126,10
1200,3600,6,126,11
1200,3600,6,126,12
1200,3600,6,125,13
1200,3600,6,126,14
1200,3600,6,125,15
1200,3600,6,125,16
1200,3600,6,126,17
1200,3600,6,126,18
1200,3600,6,127,19
1200,3600,6,127,1
1200,3600,6,127,20
1200,3600,6,125,21
1200,3600,6,127,22
1200,3600,6,127,23
1200,3600,6,126,24
1200,3600,6,127,25
1200,3600,6,125,26
1200,3600,6,126,27
1200,3600,6,127,28
1200,3600,6,127,29
1200,3600,6,125,2
1200,3600,6,127,30
1200,3600,6,127,31
1200,3600,6,127,32
1200,3600,6,126,33
1200,3600,6,125,34
1200,3600,6,126,35
1200,3600,6,125,36
1200,3600,6,126,37
1200,3600,6,127,38
1200,3600,6,127,39
1200,3600,6,127,3
1200,3600,6,126,40
1200,3600,6,125,41
1200,3600,6,126,42
1200,3600,6,126,43
1200,3600,6,127,44
1200,3600,6,128,45
1200,3600,6,126,46
1200,3600,6,127,47
1200,3600,6,126,48
1200,3600,6,126,49
1200,3600,6,126,4
1200,3600,6,126,50
1200,3600,6,127,5
1200,3600,6,126,6
1200,3600,6,127,7
1200,3600,6,128,8
1200,3600,6,126,9
1200,7200,3,97,10
1200,7200,3,96,11
1200,7200,3,96,12
1200,7200,3,96,13
1200,7200,3,96,14
1200,7200,3,96,15
1200,7200,3,97,16
1200,7200,3,96,17
1200,7200,3,94,18
1200,7200,3,96,19
1200,7200,3,98,1
1200,7200,3,95,20
1200,7200,3,96,21
1200,7200,3,95,22
1200,7200,3,98,23
1200,7200,3,95,24
1200,7200,3,96,25
1200,7200,3,95,26
1200,7200,3,96,27
1200,7200,3,95,28
1200,7200,3,97,29
1200,7200,3,97,2
1200,7200,3,96,30
1200,7200,3,96,31
1200,7200,3,95,32
1200,7200,3,95,33
1200,7200,3,94,34
1200,7200,3,97,35
1200,7200,3,97,36
1200,7200,3,97,37
1200,7200,3,97,38
1200,7200,3,95,39
1200,7200,3,96,3
1200,7200,3,96,40
1200,7200,3,96,41
1200,7200,3,96,42
1200,7200,3,97,43
1200,7200,3,97,44
1200,7200,3,96,45
1200,7200,3,96,46
1200,7200,3,97,47
1200,7200,3,95,48
1200,7200,3,95,49
1200,7200,3,95,4
1200,7200,3,97,50
1200,7200,3,95,5
1200,7200,3,95,6
1200,7200,3,95,7
1200,7200,3,96,8
1200,7200,3,96,9
1200,7200,4,109,10
1200,7200,4,111,11
1200,7200,4,111,12
1200,7200,4,110,13
1200,7200,4,111,14
1200,7200,4,111,15
1200,7200,4,110,16
1200,7200,4,110,17
1200,7200,4,110,18
1200,7200,4,111,19
1200,7200,4,111,1
1200,7200,4,111,20
1200,7200,4,112,21
1200,7200,4,109,22
1200,7200,4,110,23
1200,7200,4,110,24
1200,7200,4,110,25
1200,7200,4,111,26
1200,7200,4,111,27
1200,7200,4,110,28
1200,7200,4,111,29
1200,7200,4,110,2
1200,7200,4,110,30
1200,7200,4,110,31
1200,7200,4,111,32
1200,7200,4,111,33
1200,7200,4,111,34
1200,7200,4,112,35
1200,7200,4,111,36
1200,7200,4,112,37
1200,7200,4,110,38
1200,7200,4,111,39
1200,7200,4,110,3
1200,7200,4,111,40
1200,7200,4,111,41
1200,7200,4,109,42
1200,7200,4,111,43
1200,7200,4,110,44
1200,7200,4,111,45
1200,7200,4,110,46
1200,7200,4,110,47
1200,7200,4,111,48
1200,7200,4,110,49
1200,7200,4,111,4
1200,7200,4,111,50
1200,7200,4,110,5
1200,7200,4,112,6
1200,7200,4,109,7
1200,7200,4,112,8
1200,7200,4,111,9
1200,7200,5,107,10
1200,7200,5,109,11
1200,7200,5,109,12
1200,7200,5,108,13
1200,7200,5,108,14
1200,7200,5,109,15
1200,7200,5,109,16
1200,7200,5,109,17
1200,7200,5,110,18
1200,7200,5,109,19
1200,7200,5,109,1
1200,7200,5,108,20
1200,7200,5,109,21
1200,7200,5,110,22
1200,7200,5,108,23
1200,7200,5,109,24
1200,7200,5,109,25
1200,7200,5,108,26
1200,7200,5,109,27
1200,7200,5,110,28
1200,7200,5,108,29
1200,7200,5,109,2
1200,7200,5,109,30
1200,7200,5,110,31
1200,7200,5,108,32
1200,7200,5,107,33
1200,7200,5,109,34
1200,7200,5,109,35
1200,7200,5,109,36
1200,7200,5,109,37
1200,7200,5,109,38
1200,7200,5,109,39
1200,7200,5,109,3
1200,7200,5,109,40
1200,7200,5,109,41
1200,7200,5,109,42
1200,7200,5,110,43
1200,7200,5,109,44
1200,7200,5,109,45
1200,7200,5,109,46
1200,7200,5,109,47
1200,7200,5,110,48
1200,7200,5,109,49
1200,7200,5,109,4
1200,7200,5,108,50
1200,7200,5,110,5
1200,7200,5,110,6
1200,7200,5,109,7
1200,7200,5,108,8
1200,7200,5,110,9
1200,7200,6,103,10
1200,7200,6,104,11
1200,7200,6,102,12
1200,7200,6,103,13
1200,7200,6,103,14
1200,7200,6,102,15
1200,7200,6,104,16
1200,7200,6,104,17
1200,7200,6,103,18
1200,7200,6,102,19
1200,7200,6,102,1
1200,7200,6,103,20
1200,7200,6,103,21
